Cladophialophora carrionii CBS 160.54	1279043		Cladophialophora carrionii	Cladophialophora	Herpotrichiellaceae	Chaetothyriales	Chaetothyriomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Clad_carr_CBS_160_54	cladCarr_CBS_160_54
Cladophialophora immunda	569365		Cladophialophora immunda	Cladophialophora	Herpotrichiellaceae	Chaetothyriales	Chaetothyriomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Clad_immu_CBS_83496	cladImmu_CBS_83496
Cladonia macilenta KoLRI003786	1353983		Cladonia macilenta	Cladonia	Cladoniaceae	Lecanorales	Lecanoromycetidae	Lecanoromycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Clad_maci_KoLRI003786	cladMaci_KOLRI003786
Cladonia metacorallifera KoLRI002260	1400770		Cladonia metacorallifera	Cladonia	Cladoniaceae	Lecanorales	Lecanoromycetidae	Lecanoromycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Clad_meta_KoLRI002260	cladMeta_KOLRI002260
Cladosporium sphaerospermum UM 843	1151026		Cladosporium sphaerospermum	Cladosporium	Cladosporiaceae	Capnodiales	Dothideomycetidae	Dothideomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Clad_spha_UM_843	cladSpha_UM_843
Clavispora lusitaniae ATCC 42720	306902		Clavispora lusitaniae	Clavispora	Metschnikowiaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Clav_lusi_ATCC_42720	clavLusi_ATCC42720
Coccidioides immitis H538.4	396776		Coccidioides immitis	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_immi_H538_4	coccImmi_H538_4
Coccidioides immitis RMSCC 2394	404692		Coccidioides immitis	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_immi_RMSCC_2394	coccImmi_RMSCC_2394
Coccidioides immitis RMSCC 3703	454286		Coccidioides immitis	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_immi_RMSCC_3703	coccImmi_RMSCC_3703
Coccidioides immitis RS	246410		Coccidioides immitis	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_immi_RS	coccImmi_RS
Coccidioides posadasii C735 delta SOWgp	222929		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_C735_delta_SOWgp	coccPosa_C735_DELTA_SOWGP
Coccidioides posadasii CPA 0001	469472		Coccidioides posadasii	Coccidioides		Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Cocc_posa_CPA_0001	coccPosa_CPA_0001
